UFID,Genus,Species,consensusESU,molecularESU,morphologicalESU,Country,Lat,Long,Date Collected,Extract,notes,ossicle_pictures,Photo,n16S,n16Sc,nCOI,nATP6,nc0036,nc0775,nITS,nLSU,nH3a,sumLoci
MHE006,Holothuria,impatiens,EP,EP,,Mexico,,,,A0004,,,,1,0,1,0,0,0,0,0,0,2
MHE048,Holothuria,impatiens,EP,EP,,Mexico,,,,A0031,,,,1,0,1,0,0,0,0,0,0,2
4812,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Oahu,19.99667,-155.24556,2/24/2006,C0020,,,,1,1,1,1,1,0,1,0,1,7
1858,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Maui,20.810833,-156.621389,11/5/1998,C0022,,,,1,1,1,1,1,0,0,0,1,6
1842,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,Maui,20.810833,-156.621389,11/5/1998,C0024,,,,1,0,1,0,0,0,0,0,0,2
FRM134,Holothuria,impatiens,EP,EP,,Panama,7.64,-81.739,,C0028,,,no,1,1,1,1,1,0,1,0,1,7
7902,Holothuria,impatiens,WA,,WA,Belize,16.408,-88.114,10/10/2008,C0199,,,,0,0,1,0,0,0,0,0,0,1
7070a,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.859323,45.268639,6/2/2008,C0200,,,,0,0,1,0,0,0,0,0,0,1
7070b,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.859323,45.268639,6/2/2008,C0201,,,,0,0,1,0,0,0,0,0,0,1
7163a,Holothuria,impatiens,ESU2,,ESU2,Nosy B̩,-13.44624,48.33157,5/26/2008,C0202,,,,0,0,1,0,0,0,0,0,0,1
7163b,Holothuria,impatiens,ESU2,,ESU2,Nosy B̩,-13.44624,48.33157,5/26/2008,C0203,,,,0,0,1,0,0,0,0,0,0,1
7055b,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.947371,45.099797,5/29/2008,N1193,,,,0,0,0,0,0,0,0,0,0,0
7055b,Holothuria,impatiens,ESU1,,ESU1,Mayotte,-12.947371,45.099797,5/29/2008,C0207,,,,0,0,1,0,0,0,0,0,0,1
7519a,Holothuria,impatiens,ESU3,,ESU3,Nosy B̩,-13.4244,48.3642,5/15/2008,C0208,,,,0,0,1,0,0,0,0,0,0,1
7519b,Holothuria,impatiens,ESU3,,ESU3,Nosy B̩,-13.4244,48.3642,5/15/2008,C0209,,,,0,0,1,1,1,0,1,0,1,5
6058,Holothuria,impatiens,,missing,ESU1/hawaii,Oahu,21.405246,-157.984712,10/2006,FLMNH_023_A10,,,yes,0,0,0,0,0,0,0,0,0,0
6243,Holothuria,impatiens,Hawaii,Hawaii,ESU1/hawaii,FFS,23.7212,-166.1328,10/24/2006,FLMNH_023_F07,,,yes,0,0,1,0,0,0,0,0,0,1
8585,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.667892,145.4443815,2/2009,FLMNH_036_B03,,,yes,0,0,1,0,0,0,0,0,0,1
8406,Holothuria,impatiens,ESU2,ESU2,ESU2,Lizard Island,-14.7746,145.3673,2/16/2009,FLMNH_036_B06,,,yes,0,0,1,0,0,0,0,0,0,1
8544,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.6857,145.4474,2/25/2009,FLMNH_036_C03,,,yes,0,0,1,0,0,0,0,0,0,1
8172,Holothuria,impatiens,ESU2,ESU2,ESU2,Lizard Island,-14.667892,145.4443815,2/9/2009,FLMNH_036_C07,,,yes,0,0,1,0,0,0,0,0,0,1
8336,Holothuria,impatiens,gracilis,gracilis,ESU1,Lizard Island,-14.45434,145.308842,2/15/2009,FLMNH_036_D01,,,yes,0,0,1,0,0,0,0,0,0,1
8174,Holothuria,impatiens,ESU2,ESU2,ESU2,Lizard Island,-14.667892,145.4443815,2/9/2009,FLMNH_036_D07,,,yes,0,0,1,0,0,0,0,0,0,1
8348,Holothuria,gracilis,gracilis,gracilis,gracilis,Lizard Island,-14.6068,145.3506,2/16/2009,FLMNH_036_D11,,,yes,0,0,1,0,0,0,0,0,0,1
8459,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.3902,145.2737,2/21/2009,FLMNH_036_E04,,,yes,0,0,1,0,0,0,0,0,0,1
8288,Holothuria,impatiens,gracilis,gracilis,gracilis,Lizard Island,-14.6805,145.4714,2/10/2009,FLMNH_036_E08,,,yes,0,0,1,0,0,0,0,0,0,1
8354,Holothuria,impatiens,gracilis,gracilis,gracilis,Lizard Island,-14.7746,145.3673,2/16/2009,FLMNH_036_E11,,,yes,0,0,1,0,0,0,0,0,0,1
8364,Holothuria,impatiens,gracilis,gracilis,gracilis,Lizard Island,-14.7746,145.3673,2/16/2009,FLMNH_036_F03,,,yes,0,0,1,0,0,0,0,0,0,1
8192,Holothuria,impatiens,ESU1,ESU1,ESU1,Lizard Island,-14.6805,145.4714,2/10/2009,FLMNH_036_F07,,,yes,0,0,1,0,0,0,0,0,0,1
