"UFID","Genus","Species","consensusESU","molecularESU","morphologicalESU","Country","Lat","Long","Date.Collected","Extract","notes","ossicle_pictures","Photo","n16S","n16Sc","nCOI","nATP6","nc0036","nc0775","nITS","nLSU","nH3a","sumLoci","SingleExtract","UFID_idig","uuid_idig"
"MHE006","Holothuria","impatiens","EP","EP","","Mexico",NA,NA,"","A0004","","","",1,0,1,0,0,0,0,0,0,2,"A0004",NA,NA
"MHE048","Holothuria","impatiens","EP","EP","","Mexico",NA,NA,"","A0031","","","",1,0,1,0,0,0,0,0,0,2,"A0031",NA,NA
"4812","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Oahu",19.99667,-155.24556,"2/24/2006","C0020","","","",1,1,1,1,1,0,1,0,1,7,"C0020","4812-echinodermata","47e26d70-f680-432e-a02b-655c5e757dde"
"1858","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Maui",20.810833,-156.621389,"11/5/1998","C0022","","","",1,1,1,1,1,0,0,0,1,6,"C0022","1858-echinodermata","7781b87e-3c8f-41c0-b5f6-030cae3546f8"
"1842","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Maui",20.810833,-156.621389,"11/5/1998","C0024","","","",1,0,1,0,0,0,0,0,0,2,"C0024","1842-echinodermata","c8a5cdc7-9bb6-41d1-863c-6dcccb008a8b"
"FRM134","Holothuria","impatiens","EP","EP","","Panama",7.64,-81.739,"","C0028","","","no",1,1,1,1,1,0,1,0,1,7,"C0028",NA,NA
"7902","Holothuria","impatiens","WA","","WA","Belize",16.408,-88.114,"10/10/2008","C0199","","","",0,0,1,0,0,0,0,0,0,1,"C0199","7902-echinodermata","930b80aa-cb5a-4f39-bccf-319ba2eaacac"
"7070a","Holothuria","impatiens","ESU1","","ESU1","Mayotte",-12.859323,45.268639,"6/2/2008","C0200","","","",0,0,1,0,0,0,0,0,0,1,"C0200","7070-echinodermata","3ea3b549-aad0-4832-b82d-3156da6994a4"
"7070b","Holothuria","impatiens","ESU1","","ESU1","Mayotte",-12.859323,45.268639,"6/2/2008","C0201","","","",0,0,1,0,0,0,0,0,0,1,"C0201","7070-echinodermata","3ea3b549-aad0-4832-b82d-3156da6994a4"
"7163a","Holothuria","impatiens","ESU2","","ESU2","Nosy B̩",-13.44624,48.33157,"5/26/2008","C0202","","","",0,0,1,0,0,0,0,0,0,1,"C0202","7163-echinodermata","590a6b16-85b3-499a-91db-13cea595bab0"
